src,VPC_Candidate,Prediction
"At Wells Fargo, a Jamie Dimon protege finally takes over a big US bank",takes over,positive
"At a court hearing this week, Calais authorities had argued the state should be able to knock down a total of 72 makeshift shops where people inside the camp sell goods, from cigarettes to energy drinks, offer haircuts, or sell tea for 50 cents (40p) or basic meals for a few euros in makeshift restaurants.",knock down,positive
"At all levels, we should have the highest political consciousness and the highest standards and take on the first",take on,positive
"At any rate, the pop-eyed, rubber-faced incompetent Johnny English has had his licence to cock things up renewed for the second time - that name of his signalling more than anything else that he is a broad comic creation designed for non-English-speaking cinemagoing territories.",cock up,positive
"At best, one can accuse him of having found out too late or not having taken the first indications seriously enough.",found out,positive
"At first I thought it was the smell of leather, but many pointed out that is was a MOLD smell.",pointed out,positive
"At first they ignored each other, but then they got closer, and Lucie laughed at Michal's jokes, to the point where she ended up clutching her belly.",ended up,positive
"At first, no one was even showing up to clean.",showing up,positive
"At full year results in February, oOh! Media said it generated $65.9 million from its 'fly' category, which is predominantly made up of revenue from Sydney Airport.",made up,positive
"At least one other early unit has popped up from YouTuber MoonlightSwami, who also got his today from Target.",popped up,positive
"At present, many children in China have given up their studies, taking professional golfers as their goals. And they have been so smooth on the professional path and won’tconsider going to colleges.",given up,positive
"At present, three plates are set up for doctor's client side, respectively, for doctors to continue education, social exchange and communication.",set up,positive
At that moment I felt that I gave up on my life.,gave up,positive
"At the 56th minute, Zhang Chiming hit in his left dribble and worked to transfer with Zhang Xizhe. He was fended off by Deng Xiaofei at the curling shot.",fended off,positive
"At the 63rd minute, Fernando was knocked down by Egor Krimets when he conducted long-range strike. Fernando was quite dissatisfied with the move of Egor Krimets. Egor Krimets got a yellow card.",knocked down,positive
"At the 86th minute, Zhou Ting sent the cross along the right wing. Sergeyev looped after chesting at the mid-way of the penalty area and shot. Deng Xiaofei sent the ball out with wonderful shoot.",sent out,positive
"At the moment there is no change in the requirements for crossing the land borders between Bulgaria and Greece. ""Travelers to Greece across the land border, regardless of their citizenship, must also fill in an electronic passenger localization form (PLF) generating a QR code at least 24 hours before arrival,"" the Foreign Ministry explained.",fill in,positive
"At the other end of the spectrum, just 184 foreign residents called Marka home, and just over 700 lived in the city's central borough. Ullern, Vestre Aker and Nordstrand made up the other boroughs with the fewest foreign residents. However, these boroughs had significantly more immigrants living there than in central Oslo and Marka. Those from EU and EEA countries and those from the United Kingdom mostly lived in Frogner, Grünerløkka, Gamle Oslo and St. Hanshaugen. Meanwhile, while plenty of citizens from Asia, including Turkey, also resided in Game Oslo (5,837), the majority were registered as living in the boroughs of Alna, Stovner and Søndre Nordstrand.",made up,positive
"At the precinct level, we just need to look at the Sydney CBD as an example of an area which has grown from its pre-settlement landscape into a two-storey city, from a maximum height of 150 feet to the soaring towers of today. At a much scaled-down level, the same can occur across Sydney's town centres located around transport nodes. Inner suburbs must also evolve, with a swing to more affordable apartment living at heights below the tree tops on key sites. Of course, the new growth in housing needs to be well-designed and trees, landscaping and parks need to be included along with other essential infrastructure.",scaled down,positive
"At the same time, neither want to cut the USA off from international trade - they just want to protect American jobs better.",cut off,positive
"At the same time, put weight on the gun and punch the attacker in the chest, then twist the gun from his grip before backing up and pointing it at him.",backing up,positive
"At the same time, the Commission set up a ""Shenzhen-Hong Kong stock market transactions interconnection mechanism"" special working group, and actively promote the preparatory work. The work will be open this year after the full preparation of the related regulatory rules and technical equipment.",set up,positive
"At the time of filing this report, firefighters were in the processing of carrying out emergency rescue. The City’s health, safety administration, environmental protection, public security, traffic and other departments arrived at the scene successively. No fatalities or injured persons were found.",carrying out,positive
Austria's most famous footballer spoke up shortly before the game and wished the ÖFB women all the best.,spoke up,positive
"Avoid Wifi connection- go Bluetooth! I purchased this for my wife in October, 2017. At the time, we were in the middle of relocating and living in a hotel. I couldn't get this scale to connect to the Wifi in the hotel. I decided to wait until we moved into our home and I could set up my own Wifi system. March 2018- I have set up my Wifi system and this scale still won't connect. Every time I try, I get the error message. Even when I am 10' away from the Wifi unit. I followed the YouTube setup video with no success. When I purchased the unit, I thought it would connect directly to my wife's phone (like Bluetooth). Instead, this scale uses the Wifi router to communicate to the phone. This system is limited to the router connection...which is usually not close to the bedroom unlike a cell phone! I wouldn't recommend this scale to anyone because of the Wifi connection. Instead, please look at systems that use Bluetooth for communication. I am replacing this with a Bluetooth connection scale.",set up,positive
"BEWARE...SMELL IS VERY BAD...CARD SLOTS TOO BIG! When I first saw this I thought it was beautiful, BUT it smelled SO BAD. At first I thought it was the smell of leather, but many pointed out that is was a MOLD smell. It never went away, so I had to return it. PLUS, the pockets for the credit cards are too big. The credit cards slide all the way down, the tips don't show so you have no idea what card is where and very difficult to get out. THE PHOTO THEY SHOW WHERE THE CARDS ARE STICKING OUT IS INACCURATE.",pointed out,positive
"Back then, in regeneration area I, from 1991 to 2004, the state of Baden Württemberg still took on two thirds of the grant amount.",took on,positive
"Barr is mentioned several times in the July 25 phone call, as is Trump attorney Rudolph Giuliani. The complaint says White House officials were concerned enough that they attempted to ""lock down"" the record of the call.",lock down,positive
Base-related revenue makes up 5% of the total economy.,makes up,positive
"Based on the health complaint from a consumer after eating the Wild Smoked Salmon- pieces 100 g, with the use-by date of 22.11.2016, the Prague hygienists carried out inspections of the Albert stores at Václavské náměstí and Na Můstku.",carried out,positive
"Because he went out to the grocery shop, nine year old Aykut Yapal was not at home during the fire.",went out,positive
"Because the Idaho Constitution requires state lands to be used to generate money, there was some concern individuals or companies could pay to lease state lands, cutting off public access.",cutting off,positive
"Before I can even get on my walkie to ask someone for sure, she storms off.",storms off,positive
"Before he could answer, the door opened and Harris, Craith, and a few others hurried out, already fully dressed and kitted out.",hurried out,positive
Beijing Municipal Social Management Office will soon carry out special inspections on the use of unified receipts of social group membership fees.,carry out,positive
"Being detained by the police and later arrested by the court to which he was referred following the assault on the Eskisehir Metropolitan Municipality’s Mayor Yilmaz Buyukersen, the retired police officer Mahfuz Banli’s Five Kiosk shop rented from the TCDD was closed and sealed off by the Tepebasi Municipality.",sealed off,positive
Being singled out as a Gülen-supporter is career-destroying for teachers and other academics.,singled out,positive
"Below, Nyssi scrambled to her feet. She was pretty sure she had broken something, but her weird, unnatural healing powers had already kicked in. The same couldn't have been said for Thassalin, who was lying in a lump, resting against the one tree that hadn't collapsed under his weight. Nyssi did her best to try and reach Thassalin but she could barely see more than a couple of meters in front of her. Everything was pitch black and engulfed in unholy shadows. And in said shadows, something was screaming and screeching.",kicked in,positive
Beneficiary’s Environment shall mean the premises in which Beneficiary carries out its business activities and the information-communication systems used by Beneficiary and containing Information Assets.,carries out,positive
"Berlin's Senator of the Interior Henkel had called multiple times since the start of the year for the police to take a hard line against the project that has made the area a ""no-go zone"" for police and singled out 94 as the starting point for autonomous violence.",singled out,positive
Berlin/Schwerin: Poll ahead of regional elections: SPD and CDU lose out,lose out,positive
"Berry says she's now trying to figure out how to make life more normal for Nahla in the Los Angeles area, where they live.",figure out,positive
"Between October 2016 and September 2020, overfunding and underfunding from the previous calculation period will be balanced out.",balanced out,positive
Black Sea Fleet personnel carried out training operations to counter threats of underwater sabotage in areas of the Black Sea.,carried out,positive
"Blech. Okay, so I finished pulling the insulation out.",pulling out,positive
Boeing hat already carried out such a promotion before.,carried out,positive
"Bon culture history is introduced in the form of comic books. In addition, Bon theme 3D self-timer area, traditional snack area and traditional craft flow classroom are set up at the scene, attracting many friends and overseas travelers for visit.",set up,positive
"Bond overloads the nuclear reactor that powers the complex, just as the American spacecraft is about to take off.",take off,positive
"Bookstores and grocery stores are the two most precarious physical retail sub-sectors, and were the first to be knocked out after the rise of Amazon.",knocked out,positive
Boss Hunts - Group up with friends or other players to hunt down field bosses and world bosses to get that rare loot.,hunt down,positive
"Bosses at Openreach, the firm responsible for linking up homes to fibre networks capable of supporting ""ultrafast"" broadband, say they face huge obstacles in securing so-called ""wayleave"" agreements that give them the right to enter apartment or office blocks.",linking up,positive
Both Germans and the Soviets carried out atrocities in the occupied or abandoned territories.,carried out,positive
"Both parties gave support to his plans to rapidly build up the American military, but the isolationists warned that Roosevelt would get the nation into an unnecessary war with Germany.",build up,positive
Both sides agree to step up cooperation in tourism and aviation and to closely promote humanities exchanges between the two countries.,step up,positive
"Bournemouth did what it had to do and beat Everton, 3-1, but ended up one point behind Villa.",ended up,positive
"Brands such as Nescafe and Nespresso make up a sizable chunk of Nestle's powdered and liquid beverages business, which generated sales of 21.6 billion Swiss francs ($21.7 billion) in 2018.",make up,positive
"Brands such as Nescafe and Nespresso make up a sizable chunk of Nestle's powdered and liquid beverages business, which generated sales of 21.6 billion Swiss francs ($21.7 billion) in 2018. Nestle last year agreed a deal to sell Starbucks' packaged coffees and teas around the world.",make up,positive
Breaking news: The Banli’s 5 kiosk shop was sealed off after his assault on Buyukersen,sealed off,positive
"Bringing horses, babies and an army of vans, they have returned after being kicked out only in May, undeterred by a moat dug by the council to prevent their incursions.",kicked out,positive
"British bank HSBC (HSBA.L) has converted a financial crime-spotting algorithm it was forced to build in the wake of a money-laundering scandal into one that can scope out new business opportunities, bank executives said.",scope out,positive
"Built in the 1840""s, The Smithy comes complete with a large barn to the rear and gives buyers a unique opportunity to set up home in a historic property with great space and character.",set up,positive
Bulgaria's Prime Minister Bojko Borissow spoke up immediately to criticise the athlete.,spoke up,positive
"Businesses complain the levy is too inflexible. For example, said Reeves, Openreach ""wants to retrain people who work on copper to work on fibre, but the apprenticeship levy doesn't have that flexibility around retraining."" Reeves said Labour would change the levy so companies could use the money to retrain employees in industries such as the automotive sector and those currently fitting gas boilers. ""We need them as part of the energy transition to net zero to be learning the skills to work on electric vehicles or fitting heat pumps or hydrogen boilers. We want those people to be retrained to get the skills that they need to succeed. And yet the apprenticeship levy is stacked up against them. Businesses want greater flexibility and young people starting off in life or older people who want to retrain to make sure that their skills are relevant for the future,"" said Reeves.",stacked up,positive
But 80 to 90 percent of companies who pay up get their files back.,pay up,positive
But I don't want any implants in.,want in,positive
"But I was told his pants started falling down, and he was struggling to pull them up while running and pushing a cart with a heavy socket set.",pull up,positive
"But Livingston continued to suck the visitors into playing exactly the type of game they enjoy, with Lithgow and Halkett sweeping up long ball after long ball.",sweeping up,positive
But after months of open hostility - and given the potential for utter disaster when Nato member Turkey shot down that Russian fighter jet - it is surely better that the two leaders are at least talking again.,shot down,positive
"But as he faces heightened scrutiny during the final months of the presidential campaign, Mr. Trump's jokes have put his loyal allies in the uncomfortable position of having to publicly stand up for him no matter how provocative his remarks.",stand up,positive
"But clients who take classes through Factor's company, Strategic Living, are mostly women interested in learning to protect themselves before going off to college or to travel.",going off,positive
"But even an election is a grim prospect for European capitals hoping for a friendly resolution to the Brexit mess. The opposition Labour Party's Brexit policy is a painful contortion act that's almost impossible to understand; the centrist Liberal Democrats' idea to cancel Brexit altogether is seen as extreme. The longer this drags on, the more it eats away at the smooth functioning of the EU.",drags on,positive
But he approved a broader effort to beef up security in Saudi Arabia and the region.,beef up,positive
But her husband concluded it was too late to drop off the ticket.,drop off,positive
"But her parents and friends did not give up, kept watching the live and saw other players finish the game. Zhang Binbin raised her ranks all the way and finally came to the final. At this time, a burst of cheers broke out in her home.",give up,positive
"But here's the problem: creating resource-intensive structures like fruits and roots takes up a lot of metabolic energy, and if plants are attempting to do both their limited energies inevitably become split.",takes up,positive
"But if anyone wanted to sum it all up so that even a common voter, whether American, European or other, would understand what the system of rules and the sanction policy are based on, it would be almost impossible.",sum up,positive
But if they take out the scar tissue it would involve bigger surgery and perhaps a reconstruction.,take out,positive
"But instead of famous naked people, they're setting out to find the next generation of top models for their 2017 NU Muses calendar.",setting out,positive
"But it turned into an miserable afternoon with Nampalys Mendy, James Maddison and Kelechi Iheanacho all scoring to give Leicester a 3-1 at half-time with Porro enduring a torrid first-half in the Premier League. The Spaniard was at fault again as Leicester thought they had added a fourth through Barnes and while the goal was ruled out for offside, former Spurs manager Sherwood was left shocked by the full-back's defensive efforts. ""I don't want to keep picking on the kid but he needs to be relieved of his duties,"" Sherwood told Soccer Saturday. I'll give him the benefit of the doubt because it is his debut but Pedro Porro is no bad it is unbelievable. His positioning is absolutely disgusting, Barnes and Maddison are destroying him down the left hand side. Daniel Levy was saying this week, they have spent a lot of money, yes they have, but their recruitment has been very poor and this is the latest addition. Let's not make any conclusions at the moment but what I am looking at is a player who does not want to defend.",ruled out,positive
But it's too easy to use the image of trolls or spammers or hateful folks lashing out online.,lashing out,positive
But many city residents said they were fed up with the union demands.,fed up,positive
But no one has been able to consistently prevent Trump from stirring up controversy.,stirring up,positive
"But no, I stand by it. Most natural speech is broken up, especially when people get emotional.",broken up,positive
But remember that the safest way out of any mugging - if you're not a Krav Maga grandmaster - is to hand over your cash.,hand over,positive
But side-step these ones and you may find one that actually has a chance of living up to its promise.,living up,positive
"But so far this work, it seems to me, is being carried out as a mere formality, and, I suspect, primarily just on paper.",carried out,positive
"But the Prime Minister acknowledged that he would have to be able to ""reach out"" to opposition MPs if he was to secure their support for any new deal he negotiated with the EU.",reach out,positive
But the UK Government has also been stepping up its preparations for a possible no-deal scenario.,stepping up,positive
"But the actor, 31, has hit out at the stereotype of the macho hero, saying such roles on screen mean young boys often feel like they have to be tough to be respected.",hit out,positive
"But the experiment, which has be made into a film called The Lickhiker's Guide to Inner Strength, threw up some surprising results.",threw up,positive
"But the nearly 40-year-old arrest was reported on his FBI background check with no additional information, and Russ needed months to track down documentation to prove he had never been convicted or even charged with a crime.",track down,positive
"But the new rules mean he has had to cancel, for fears his wife's employer would not be able to accommodate her taking an extra two weeks off to quarantine on their return.",taking off,positive
But the organiser only found out about this just before the claimants departed.,found out,positive
"But the reality is that gymnastics is an expensive sport, and gymnasts primarily train in private gymnastics clubs that are maintained by parents paying the cost of the training, facility, travel, uniforms, competition fees, hotel fees (for the coaches and their gymnasts and families) and the list goes on.",goes on,positive
But there are many other athletes preparing to line up on the start line at the Olympic Games in Rio despite having been involved in doping in the past.,line up,positive
"But they brought in a new goalkeeper, and we alternated in the role.",brought in,positive
"But they're fighting the impacts of climate change, development around the lake and something added to the lake in the 1960's: A tiny invasive shrimp brought in to feed the fish.",brought in,positive
But this is more like a soccer match with 27 players on one side lining up to defend while the player in the opposite team tries to pick up the ball and go home.,lining up,positive
"But this won't lead to a spike in demand, since the core market, families with children, are already getting ready for school, experts point out.",point out,positive
"But we've all got to carry on and fight.""",carry on,positive
"But we’ll put the album out in November, for the series of my anniversary concerts at Moscow’s Crocus City Hall.",put out,positive
But what seemed to really mess up social media was the revelation that Amelia might be pregnant -- which of course was not the kind of threesome she was envisioning.,mess up,positive
"But when a noose is thrown around the neck of ""Roger,"" nearly everyone in the audience let out very real gasps.",let out,positive
"But when he took along his daughter to participate in the variety show ""Dad, Where Are We Going?"", he became a focus.",took along,positive
"But, if you walk and don't get a ride in the electric cars, you will discover Team Canada House with a moose at the entrance and a pavilion with a restorative bath, and a ticket office, and a laundromat, and a dry cleaners, and a hair salon, and a flower shop, and a shop with everyday goods, and a post office with unique stamps (only you won't be able to wait out the queue of Chinese stamp collectors anyways), and a bank, and a lost and found, and a photo booth.",wait out,positive
Buyang Group and Qunsheng Group are also enterprises in the city that are carrying out the Made in Zhejiang team’s benchmarking and and standard achievement work.,carrying out,positive
By doubling down on the core gag - middle-age actors playing horny kids coming of age - it made the impossibility of recapturing the past part of the joke.,doubling down,positive
"By that time, the heads of the two countries will carry out an in-depth exchange on sino-American relation and the major regional and international issues of common concern.",carry out,positive
"By the same token, the president said that it is necessary to keep an eye on this plan, so that “not everything in sight is cut down” during the clearing process.",cut down,positive
"By the time the IPO was pulled, estimates of WeWork's value had come down as low as $10 billion.",come down,positive
"By the way, we invited the people who carried out this antiterrorist operation to Russia.",carried out,positive
CBC ended up apologizing more than 90 times to people who had tweeted in response to the remark,ended up,positive
CMC should set up the baton for fight in the war at the beginning of the work.,set up,positive
"Camille Lacourt, from France, spoke out harshly against Chinese Olympic winner Sun Yang.",spoke out,positive
Can you imagine all those people trying to get out of the parking lot when that touched down?,touched down,positive
Canadian broadcaster CBC has been forced to apologize after one of its commentators said a 14-year-old female Chinese swimmer 'went out like stink' and 'died like a pig' during a race.,went out,positive
Carry out systematic checks on a person's nationality to ensure they are eligible to vote.,Carry out,positive
"Carrying out in-depth the exchange of experiences and mutual learning concerning the management and governing of the country, and the legislative control, so as to ensure the smooth development of mutual cooperation in the areas docking the One Belt one Road with the Eurasian Economic Union at the legislative level.",Carrying out,positive
Cases aren't opened or drag on.,drag on,positive
"Cassidy, who was wounded, played dead until Haskell left, and was able to identify him to police. She told officials he was planning to drive to her grandparents' home and kill them. But police tracked down Haskell, and he was arrested after a 20-minute police chase and a three-hour standoff.",tracked down,positive
Catalonia has become the latest region to crack down on nightlife.,crack down,positive
Chad Hammel told KSWB-TV in San Diego he had been diving with friends for about half an hour Saturday morning when he heard the boy screaming for help and then paddled over with a group to help pull him out of the water.,paddled over,positive
Changing it up: This user reckons that Nathan is an 'athletic version' of the Inception actor,Changing up,positive
"Cheers, y'all. Now check it out. I really didn't even eat enough to be wiping my mouth, but I can tell you this, my mouth is salivating. You know what I mean? So look, this is what I'm trying to do. You guys let me know down in the comment section below, what would you do? What type of veggie would you serve this with? And don't forget, this is a budget friendly meal, alright. So let me just go ahead and pour myself a glass of this great coupgate. Yes, sir.",check out,positive
"Chief Operating Officer Zhang Liming said that the global quality teacher resource and services are connected to the student side, so parents do not have to travel far and waste the valuable time in sending and picking up children.",picking up,positive
China carrying out peaceful construction activities and laying out the necessary defense facilities on relevant islands and reefs in the South China Sea are matters within the scope of China’s sovereignty.,carrying out,positive
China's Jade Rabbit robot rover drives off its landing module and on to the Moon's surface.,drives off,positive
"China, Branstad wrote in an opinion piece in Sunday's Des Moines Register, ""is now doubling down on that bullying by running propaganda ads in our own free press.""",doubling down,positive
Civility in Politics: New awards scheme set up to counter Westminster division and recognise politicians who show courtesy,set up,positive
"Clearly I really liked the Stylos considering the fact that every time a new one came out, I purchased it.",came out,positive
"Closely tied to this is the idea of regions offering specialist training scholarships which include a fixed contract at the end to young doctors, as well as forging a closer working relationship between local health authorities and universities, all as a means of speeding up the recruitment process in Italy's struggling health sector.",speeding up,positive
"Collectively, everyone on the team should be seeking out opportunities to play Gallant to the Republicans"" weird Goofus impulses.",seeking out,positive
"Collins thought she was finally getting everything she dreamed of, her brothers best friend... but when she woke up alone the next morning, and never heard from her, things definitely changed.",woke up,positive
"Come on.""",Come on,positive
Come out and support Khimik!,Come out,positive
"Coming to the end of the first stanza of their showdown on the undercard in Abu Dhabi, the 37-year-old Correia appeared to mistake the 10-second warning for the actual end of the round, reaching out a glove before turning her back on Kianzad and making her way back to her corner.",reaching out,positive
Commentator Byron MacDonald thought his mic was turned off when he started to dispense some of his own opinions at the end of the women's 4x200m freestyle relay final.,turned off,positive
"Companies are coming to realize they must stay on top of their workplace culture, lest they become the next Uber, which has been enmeshed in scandal since a former employee published a blog post describing an environment of harassment where those who spoke out were punished.",spoke out,positive
"Consequently, she set off from home with her partner.",set off,positive
"Consequently, the business area already marked out in Unterzeitlarn will be expanded to include a further two plots near state road 2112.",marked out,positive
Consideration was therefore given to converting existing ships to carry out this role with carrier groups.,carry out,positive
Continue holding down the power button for 3-4 seconds.,holding down,positive
"Cook said Internet security management is important, and Apple appreciates that China has opened up their policy.",opened up,positive
"Cost guard teams, who were patrolling the Müsellim strait, carried out an operation on a group of escapee refugees that took to the sea to escape to Lesbos Island, Greece with an inflatable boat in the morning hours.",carried out,positive
"Coutinho and Umtiti have both been linked with moves to Arsenal, with the Brazilian also being eyed up by Chelsea.",eyed up,positive
"Cowboys fans made up more than half of the crowd at FedEx field, which was evident based on the blue and white jerseys in the stands.",made up,positive
Crazy Horse's memorial statue depicts him pointing out toward his land in the Black Hills.,pointing out,positive
Criticism on Twitter came thick and fast against Byron MacDonald with many calling him out,calling out,positive
Critics had time and again pointed out that they were only non-binding reservations.,pointed out,positive
"Critics of this proposition may be quick to point out how this argument could hold water, given that Riek later went on to accept to be absorbed back into the fold under Chief Garang in 2002.",point out,positive
Critics point out that the rules for combating illegal and portable adverts will remain the same as before.,point out,positive
Cullis-Suzuki herself went on to found an environmental think tank and work for UN Secretary General Kofi Annan's Special Advisory Panel in the early 2000s.,went on,positive
"Current chairman, Breitbrunn's mayoress Gertrud Bühl (FW), looks back to when Ruper Göller was brought on as a water officer in 1985, and was promoted to Managing Director of the Association as soon as 1988.",brought on,positive
Customer journey mapping can point out individuals who are on the path to churn.,point out,positive
"Customers in Germany will not put up with that, broadly speaking.",put up,positive
"Dallas Cowboys bring benches to Washington, rivalry heats up",heats up,positive
David Attenborough is 93-years-old but the iconic nature guru is not slowing down just yet.,slowing down,positive
Davis said she's met Obama but has no idea if the former first lady knows about her taking on the role.,taking on,positive
"Davis said she's waiting for her publicist ""to call and say, ""Hold the line, it's Michelle Obama ― to cuss your ass out.""""",cuss out,positive
De Maizière is planning to employ undercover agents to hunt down criminals in particular areas of the Internet (the Dark Web).,hunt down,positive
"Deriglazova mounts a terrific counterattack, moves ahead in points, and, quite obviously, starts to run out the clock.",run out,positive
Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell,closes down,positive
"Despite messing up his first shot, star basketball player Stephen Curry made it through the first round between professional golfers.",messing up,positive
"Despite that, according to Bratman, the situation in terms of the housing market is also hotting up.",hotting up,positive
"Despite the large differences in their roles, there were several themes within their responses that stood out as ways to prevent burnout.",stood out,positive
"Despite the threats and intimidation, families of the Paniai shooting victims carried out one last symbolic act of defiance: burying one victim's body on land just opposite the police and military station.",carried out,positive
Dettori soaks up the cheers as he brings in Predilection after victory,soaks up,positive
Di Francisca lunges at Deriglazova and the latter retreats; time is running out and the Italian makes a play.,running out,positive
"Diana's legacy was brought full circle when Harry donned the distinctive blue body armor of the HALO Trust. Twenty-two years ago, Diana took a similar path across an Angolan field scattered with deadly landmines, left over from years of civil war. It became one of the most iconic images of her short life.",left over,positive
"Diaries, letters from the days of the English empire, maps outlining who owned what: ""You'd think land disputes would be boring,"" says Rhodes, ""but there was this one birch tree two families were fighting over.",fighting over,positive
Did the subject of corporal punishment ever come up?,come up,positive
"Did you encounter any complications during the realisation phase, which forced you to abandon some of the original ideas or come up with new ones?",come up,positive
"Director Boyd Douglas-Davies, who is also president of the Horticulture Trades Association, said: ""People are trading up from a plant in the bedroom and putting in beautifully decorated trees.""",trading up,positive
Disorder broke out at HMP Long Lartin in Worcestershire at about 09:30 BST on Sunday and is ongoing.,broke out,positive
"Dmitry Kornev, founder of the internet portal, Military Russia, believes that Neskorodov's dismissal was brought about by a failure to meet the delivery deadlines for these projects.",brought about,positive
Does it mean that you do not consider the likely punishment handed down by the court to be sufficiently effective?,handed down,positive
Does this mean that people can literally pick up parcels around the town as their second job?,pick up,positive
"Doesn't actually do any air ""cleaning"" Bought this as a humidifier, the ""air cleaning"" part is actually false advertising; depending on how hard your water is, sediment does accumulate in the bottom, but none of that is any dust in your home unless you live in a coal mine or something. As a humidifier, I would rate it as slightly less effective than a wick type humidifier with the same fan size. The advantage is that it doesn't consume wicks. Given the additional cost of the unit, you probably have to run it for about 5 years to make the difference up. It does have a fairly large water capacity for its size, since the 'tank' is integral to the unit, and it's low power (although no better than a wick type). It is also fairly easy to clean, although the plastic disks can't really be serviced since the disk unit can't be disassembled. However, for German engineering, the build quality isn't great. I've had mine for a year now, which would be about six months of cold weather run time, and the unit has developed a very annoying rattling noise from the fan assembly. My guess would be the fan bearings, so I'm just waiting for complete failure to happen here. As noted by someone else, any repairs are almost equivalent to just buying a new wick humidifier. tl; dr - not worth the extra cost, you are better off with a wick humidifier.",make up,positive
"Dog chewed up the first one, husband kneeled on the screen of the second one, and the third ones still working but there’s an elbow mark in the middle of the touch screen also courtesy of the hubby...bought this one as a back up and the screens great but the battery it came with holds a charge maybe for a couple days.",chewed up,positive
Don't let anyone in and pay attention to people as they leave (esp kids' hands).,let in,positive
"Donald Trump wouldn't really mind if he lost the US presidential election in November: ""Either it'll work out, or I'll go on a long, long holiday,"" the Republican candidate said in an telephone interview with US television channel CNBC.",work out,positive
Donskoi pointed out that this bill calls for oversight from EMERCON and watchdog agencies.,pointed out,positive
"Don’t expect singing, but some remixes of his songs might be in the cards and U Street Music Hall co-owner Will Eastman will provide an equally lively set of his own (as he does.) Sold Out, 10:00 p.m.",Sold Out,positive
"Dressed in red trousers and a cream blouse, Carter stood tearfully with hands clasped and eyes cast down as she was sentenced.",cast down,positive
"Driven by Moutai, listed baijiu companies began to introduce price hikes and control supply, enjoying the dividend brought about by consumption upgrading.",brought about,positive
Dubai's civil defence authorities said firefighting squads put out the blaze at around 4.00 am local time (0000 GMT) and were cooling the building.,put out,positive
"During a fundraising trip last week in California, Trump had threatened to have the federal government step in to ""clean up"" the homeless problem there and said floated the idea of the EPA going after San Francisco for allowing drainage from homeless encampments into the Pacific ocean.",clean up,positive
"During an appearance on This Morning, the actor opened up about his decision to leave the ITV soap.",opened up,positive
"During his opening statement, Kavanaugh was very emotional, at times nearly shouting and choking up while discussing his family and his high school years.",choking up,positive
"During the course of the investigation, it emerged that the notorious absentee went to the office every workday morning at 7:00 a.m., in order to clock in on the electronic system.",clock in,positive
"During the tour, tourists have the opportunity to have the warder lock them up in a cell, mainly as a photo op but also to experience for themselves what it is like to be behind bars.",lock up,positive
"Dutiaume is also hoping his team can become more potent on the powerplay, adding: ""Our powerplay is successful when we stick with it and stay patient, rather than trying to force passes because a team is killing great against us, and we end up getting ourselves isolated.",end up,positive
"Dědek's entrance in mayoral colours did not get off to a good start, however.",get off,positive
Dědek's first days in politics were topped off with a proposal to give tax benefits to families with children who are studying.,topped off,positive
"EVERY COMIC, even a brand new one, will have some form of minor defect if you get out a magnifying glass and look closely enough.",get out,positive
"Earlier this month, a climate-change group called Heathrow Pause attempted to shut down Heathrow airport by flying drones, but in the Gatwick incident, no campaigning group is thought to be responsible.",shut down,positive
"Early this year, Audi was swept up into a German criminal investigation involving Volkswagen after the authorities accused Audi of installing a system to evade emissions rules in Europe, broadening an inquiry that had focused on the United States.",swept up,positive
"Easy to install????? Overall I am quite satisfied with this purchase but it was not that easy for me to install. I tried installing both ""bells"" into the plugged in transmitter several times without any luck. I was about ready to return it as not working but I thought I would give it one more try and check the batteries in the bells. Voila...there were little plastic tabs sticking out from the battery covers which I pulled on and out came the plastic piece which was covering the battery and stopping it from working. After I removed these pieces of plastic the bells worked just fine and I was completely happy with this purchase. The odd thing is that in the users instruction booklet there is no mention of the plastic over the battery which must be removed for the bell to work. It would have been allot less frustrating if they mentioned this and I didn't think the problem was that I wasn't completing the installation correctly. It's a good product with a wide variety of rings, chimes and tunes you can choose and it's easy to change whenever you want. One thing they ask in rating this bell is how ""weatherproof"" it is. I can't comment on this because it was installed July 5th 2019 and we probably won't be able to comment on how weatherproof it is until next rainy season...probably in November.",sticking out,positive
"Edmund didn't sit up or crawl until he was three, and he still doesn't talk.",sit up,positive
"Efforts should be made to fight innovative war and make preparation for war, keep up with evolution in war situation and method of war fighting,",keep up,positive
"Elected president of Iran for the second time, Hasan Ruhani’s swearing in ceremony was attended by the country’s religious leader Ayetullah Ali Hamaney.",swearing in,positive
"Elizabeth demonstrates the sign language Edmund made up for ""please sing to me.""",made up,positive
"Elke Twesten must immediately give up her seat"", said national head and campaign leader for the Greens to RedaktionsNetzwerk Deutschland (RND).",give up,positive
"Elsewhere on the night, Australia's Robert Whittaker edged out England's Darren Till in the middleweight main event, while Russian-born fighter Khamzat Chimaev made history by winning a second bout in 10 days on Fight Island, the shortest-ever period between victories in the modern-era UFC.",edged out,positive
"Emphasizing that their 23-day strike had tied up transportation, the TDS President Mr Hasan Pakdemir commented ""People of Izmir will be relieved.""",tied up,positive
