src,VID_Candidate,Prediction
"I give this book 10 stars! Excellent read!! I absolutely loved the book!! I’ve adopted 4 Siamese cats from Siri over the years and everyone of them were absolute loves. Once you start to read this book, it’s hard to put down. Funny, witty and very entertaining!! Siri has gone above and beyond in her efforts to rescue cats (mainly Siamese)!!",put down,positive
I go to the mall.,go to the mall,positive
"I guess it was easier to break than they thought. I am giving this product a 3 star do to the fact when I got it in it was broken already inside. Once I examined it I realized whoever put it in the box put it in there broken, This could have either been the manufacturers packers or for the manufacturers sake the problem could possibly be that a buyer returned the item and claimed they just didn't want it or didn't need it and Amazon possibly did not do a good enough quality check when it came back. In all fairness the buyer couldn't have said it was broken because then Amazon wouldn't have taken it back which is good especially with this kind of product either way though I am the one who got stuck with someones negligence. I did however get my money back so after thinking about it and discussing it with my spouse I have decided to give this buyer another chance. With that said I will only update my rating to a higher star depending on how customer service handles this post (by at least addressing it) and if the item comes in great shape, actually has the opportunity to do what it does, and works well doing what it is supposed to do.",get it,positive
I have gone to the mall.,go to the mall,positive
I have no Pokorný or Růžička style lobbyist. I am a separate entity and I do not deal with this at all.,deal with [pron],positive
"I haven't really achieved anything. I'm happy that a few people have come to me in private and said ""look, because of all your work, I'm gonna grant you this amount of money"".",come to [pron],positive
"I hit most of the classics before eighteen--though that's more a reflection of living in bumfuck nowhere, I also read the 1979 Encyclopedia Brittanica in desperation.",live in bumfuck,positive
"I hope that they will ask the official to pay for all the checks that came to nothing because of his activities, so that he realises what he has done.",come to [pron],positive
"I hope we will get on on a personal level, and we can work well together.",get on,positive
I like the product it’s a nice size and color! Unfortunately only had it a week and opened the one door and it cracked the top of the wood piece! I’m really disappointed! It’s all assembled and I don’t have the box anymore so how could I even think about sending it back?! My husband did try and fix it with wood glue but sadly that didn’t work either! The door popped right out again!!,have it,positive
I printed out the page and took it to my local shop.,take it,positive
"I quite like akkoma the software and the domain name I got for my instance. But I feel somehow I started this instance on the wrong foot, so to speak. And I never got comfy there. Will still linger a bit longer on here and think about whether I should migrate at all.",start on the wrong foot,positive
"I regularly hear how many former Domspatzen still today keep in regular contact with him, 23 years after his retirement, visit him, read to him – he is almost blind – and treat him like a member of their family.",keep in,positive
"I remember thinking, what are they going to put on my tombstone?",put on [pron] tombstone,positive
I still go through that in terms of the stresses and pressure of the job but management just feels right.,go through [pron],positive
"I think I took it seriously because I've been sick a lot, and I hate it.",take it,positive
"I think that (Kadiza) interpreted it as a warning and decided to play it safe"" said Akunjee according to the BBC.",play it,positive
I turned up the heat just a little and it did the trick.,turn up,positive
I wanted to know whether she would agree with it.,agree with [pron],positive
I would go to the mall.,go to the mall,positive
I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,make it,positive
"I'll sleep on it and from tomorrow, I will only remember the positive aspects of the Olympic tournament.",sleep on [pron] and from tomorrow,positive
"I'm happy that a few people have come to me in private and said ""look, because of all your work, I'm gonna grant you this amount of money"".",come to [pron],positive
"If Cossack classes incorporate everything positive that has been previously accumulated and take it to a whole new level, then I will be pleased.",take it,positive
"If I only bathe once a week (but shower every 2 days or so) and the heater has enough water for quick showers, is it worth turning up the heat for the once a week bath?",turn up,positive
"If he doesn't make it because of political correctness, that's ok, Trump added.",make it,positive
"If he doesn't make it because of political correctness, that's ok, Trump said.",make it,positive
"If someone comes to me and tells me that they're working to get out of a financially abusive relationship and their abuser looks at their paystubs,",come to [pron],positive
"If someone you know already sings in a choir for the elderly, you can just go along with them.",go with [pron],positive
"If the Frenchman, currently still active in the challenger tournament in Italian Biella, does not make it to the Bundesliga match, then Zdenek Kolar (Czech), who is playing in the tournament in Liberec in the Czech Republic, will be called into action for the first time this season.",make it,positive
"If you push your lungs to their limits regularly, you will not run out of breath as quickly in day-to-day life.",run out of breath,positive
"In 2003, the Panthers hosted the NHL All-Star Weekend in which the Western Conference earned a 6–5 victory after the first OT shootout in All-Star history.",earn in [pron],positive
"In 2008, when the girl was only 13 years old, the family decided to move to Germany: there, the girl had a better chance of making it onto the national team.",make it,positive
"In Barnaul, the new asphalt on Krasnoarmeyskiy Prospekt is being dug up",dig up,positive
"In Germany, where workers and bosses run many companies jointly, a big strike is unusual. A wave of big strikes is almost unheard of. Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day. This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.",call it,positive
"In May, the number of visits fell by 42 percent from the previous year, whereas in Japan the same figure grew by 85 percent.",fall in may,positive
"In a blog post, Adblock spokesperson Ben Williams wrote that ""this sort of back-and-forth battle between the open source ad-blocking community and circumventers has been going on since ad blocking was invented,"" and that it is possible Facebook would come up with its own fix soon.",come up,positive
"In front of parliament in Skopje, Vladimir Kavardarkov, 54, was preparing a small stage and pulling up chairs in front of tents set up by those who will boycott the referendum.",pull up,positive
"In his statement labeling as ""political forgers"", ""political snatchers"" those he alleges target the MHP, Buyukataman added that ""Nationalist movement is not abandoned on its own.""",abandon on [pron] own,positive
"In late April, weeks after searching through the El Sobrante Landfill in Corona, authorities called off the search. The child's body was never found.",call off the search,positive
"In the United States, much of the attention in the third quarter has focused on a deal that failed to come to fruition - the planned IPO of WeWork parent We Company.",come to fruition,positive
"In the final series, Rachel's onscreen husband Mike Ross, played by Patrick J Adams, paid a visit from Seattle and was asked how Rachel was getting on.",get on,positive
Information about Russian cyber attacks came to light last month when the FBI announced that it was investigating the attack on the Democratic Party's servers.,come to light,positive
"Initially, I wasn't sure if the internet in our garden would be good enough for this setup. The old access points I replaced last year in the fall wouldn't have cut it.",cut it,positive
"Instead of going there, the bridge crew would take a turbolift ride right past it all the way down to deck 13.",take it,positive
"Instead, he noted, the U.S. is continuing sanctions aimed at keeping up pressure.",keep up,positive
Iranian officials have previously said they were sticking to their tough stance.,stick to [pron] tough stance,positive
It came up to my waist.,come up,positive
"It concluded an exhilarating spell of end-to-end rugby in which the rivals took it in turns to attack from deep and, having been at the heart of the home advances, Barbeary delivered the telling blow.",take it,positive
It feels like they are playing it for the second time in a row.,play it,positive
"It is a righteous diatribe, months and years of fury spilling over, and she can't get it out without weeping.",get it,positive
It is hard to escape the sense that Watford's habit of flipping managers has run out of road.,run out of road,positive
It is no coincidence that Joshua Kimmich was allowed to take to the field as captain at the Audi Cup.,take to the field,positive
It is not the first time the renowned bank has come under fire in recent weeks.,come under fire,positive
"It is true in a sense that before Obama, ISIS was an almost unknown, small little organization, he who called it the jayvee, totally wrong, and here's why it happened, because he withdrew the troops from Iraq.",call it,positive
It occurred to me that I did not cut the Cyprus broadcasts.,occur to [pron],positive
It seems inconceivable that land may be taken away one day when you watch Australian and United States media channels but that's because the rich are on there all day ensuring your mind thinks a certain way. The land is very easily and quickly taken away by the government one day if they want to do that. And guess what? It never made sense how ppl can keep land at the expense of others. It has to be taken away one day. That's why the Chinese only allow leases. They already ran out of land.,run out of land,positive
"It started to come to light why Turkey, in a bitter struggle to end PKK terrorism for more than forty years, could not destroy the organization leaders in this struggle.",come to light,positive
It was a big reality check when I came to Canada just how difficult it was to get the players together.,come to canada,positive
"It was a third Elite League defeat of the season for Adam Keefe's men, who had come from behind to beat Dundee 2-1 in Belfast on Friday night.",come from behind,positive
It's ThinkPad day!! Came home on my lunch break to see this sitting outside uwu. Wish I could take it back to work with me to setup more. But that will have to wait till tonight.,take it,positive
It's a 24V Panel. Sadly the sun is so low (and partly obstructed by a tree) that it drops down to basically nothing as soon I put a load on it.,put on [pron],positive
"It's important to keep in mind that, even though these rates are per million departures, some of the plane models in this report - for example, the Boeing 727 introduced in 1964 - have been around for decades and consequently had much longer to accumulate an accident record than others.",keep in mind,positive
"It's unclear just how deeply such collective action may take root this fall, but it certainly would be fitting if the general strike returned to the Northwest in 2019. And from there we can only hope that its spirit will spread even further, into the heart of Midwestern farming, Southern manufacturing, Texan oil fields, Appalachian coal mines, Northeastern construction, the Silicon Valley tech giants, and everywhere in between. Lord knows that something's gotta give.",take root,positive
It’s hard to get to so I’m leaving it at that temp and calling it a day.,call it,positive
"I’m also trying to promote the other artists with my center: I buy them songs, pay the lyricists, and sometimes their tracks make it into rotation on the television channels and radio stations.",make it,positive
JAL and other airlines have yet to come up with way of anticipating seat reservations by serial snorers and passengers who fully recline their seats during in-flight meals.,come up,positive
John cut short her rambling and put down the phone.,put down,positive
Kamensky and Grigoryan made it into the final of the smallbore rifle shooting competition.,make it,positive
Kazakh Balandin made history,make history,positive
"Keep in mind that the current fiscal year, FY2013, began on Oct. 1 so Obama administration officials will have to implement 12 months’ worth of cuts in only seven months.",keep in mind,positive
"Keep in mind, however, that mounts will need to be cared for, housed and protected as they can die in combat.",keep in mind,positive
"Keep in mind, that isn't some guy babbling in the men's room at Starbucks.",keep in mind,positive
"Kelly told the staff that information needed to flow through him - whether on paper or in briefings - because the president would make better decisions if given good information.""",flow through [pron],positive
"Kim declared a state of emergency and imposed a lockdown on the border city of Kaesong, calling it a ""critical situation in which the vicious virus could be said to have entered the country,"" state news agency KCNA reported.",call it,positive
"Lawmakers last month updated the nation's oldest law governing police use of deadly force, making it now among the country's most comprehensive when combined with additional training.",make it,positive
"Let me remind you that, with Jeter’s direct involvement, Team Ukraine claimed a record sixth place for itself in Eurobasket 2013, and, for the first time, made it into the World Basketball Championship, where the “yellow-and-blues” were unable to make it past the group stage, but the US native averaged 15.4 points, three rebounds, and 5 assists per game.",make it,positive
Let's hope that the movement didn't take it the wrong way.,take it,positive
Let's hope they click with someone.,click with [pron],positive
"Lewis said the report would act ""as a line in the sand"" for the force, adding: ""Improvements have already been made and I take full responsibility for driving through the changes that are so obviously needed. In the five months I've been here I have met some exceptional police officers and staff, at all levels, and have seen lives saved and vulnerable people protected by the efforts and determination of frontline officers.""",act as a line in the sand,positive
Li Keqiang said that China-Russia relations are bearing new fruits under the jointed efforts of President Xi Jinping and President Putin.,bear fruit,positive
"Like Luo Shiyu’s family, volunteers from 106 families in 24 towns at Shapingba District took to the streets as “little environmental warriors”.",take to the street,positive
"Like many pop cultural phenomena it had gone off the boil somewhat before this new game was made available in the US, Australia and New Zealand in early July.",go off the boil,positive
Long jumper M Sreeshankar failed to reach the final after a disappointing performance while 400m hurdler MP Jabir made it to the semifinals on the opening day of the World Athletics Championships in Doha on Friday.,make it,positive
"Luxury clothing brand Balenciaga is still reeling from the backlash over two of its recent ad campaigns. Months after the fashion house came under heat for promotional images that critics said sexualized children, Balenciaga artistic director Demna (full name Demna Gvasalia) said he's still sorry for the images in an interview with Vogue published Friday. ""I want to personally apologize for the wrong artistic choice of concept for the gifting campaign with the kids and I take my responsibility,"" he told Vogue, echoing a previous statement he posted to social media in December.",come under heat,positive
Many of the Depression-era food ways were abandoned as soon as the country got back on its feet.,get on [pron] foot,positive
"Many public health campaigns to get people to ""find 30,"" ""get off the couch"" and ""be active everyday"" have fallen on deaf ears because most public health messages are boring and delivered by people who look miserable.",get off the couch,positive
Mario Gomez's dreams came to nothing!,come to [pron],positive
"Massive because the viaduct is 222 metres long, weighs approximately 6,000 tonnes and had to be pulled up a gradient of about 3%.",pull up,positive
Members want to set up plaques along the planned route and put information about stars and constellations on them.,put on [pron],positive
Minniti meanwhile said a sharp fall over recent weeks in the number of migrants arriving in Italy following rescues was an indication that efforts to beef up the Libyan coastguard and cooperation with local mayors was bearing fruit.,beef up,positive
"Months after the fashion house came under heat for promotional images that critics said sexualized children, Balenciaga artistic director Demna (full name Demna Gvasalia) said he's still sorry for the images in an interview with Vogue published Friday.",come under heat,positive
"More than 100 films are made in our country each year, but, on average, only 20-25 films make it to the screen.",make it,positive
"Mr Miller said: ""With support from national experts, we have carried out an exhaustive criminal investigation but, without new information coming to light, there are no further realistic lines of enquiry at this time.",come to light,positive
Mr Panos said buyers need to have a walkaway figure and come up with a plan B to avoid only looking and settling for one property.,come up,positive
"Ms. Oliveira, 34, used to live in Williamsburg and went to Verb frequently.",go to verb,positive
"New York Attorney General Eric Schneiderman, who led the coalition of states that sued the EPA this week, said the group intends to keep up the legal pressure.",keep up,positive
"Next, take it out and wait until it softens.",take it,positive
"Nick Rascona hugs two of his castmates, and then breaks down crying in their arms; the emotional toll of the performance finally getting to him.",get to [pron],positive
"Nilanjan Mukhopadhyay, a political analyst, said the call to hug cows had been ""absolutely crazy, defying logic."" He added that the decision to withdraw the appeal was more ""to prevent the politics of Hindutva [Hindu nationalism] from being ridiculed in the face of severe criticism from all quarters."" The AWBI reneged on its appeal on Friday saying it ""stands withdrawn."" It was only on Wednesday when its statement read that ""hugging cows [would] bring emotional richness and increase individual and collective happiness.""",renege on [pron] appeal,positive
"No shit, I silently voiced to myself. Attempting to lockpick the chains that wrapped around his arms, voices closed in on our location, the faint footsteps growing ever louder. “Quick! Get back in the vent, and leave. Do not come back. If we meet again, it won’t be in this city.” He said hurriedly, the flash of panic on his face didn’t help my nerves at all. Listening to his advice. I couldn’t bring myself to stay longer. Fuck, Al. I quickly ran for it after exiting the vent; it hurt a bit to lose such an invaluable friend. Were they moving him to the…other city? So many things were flicking through my slightly scattered mind, and most of them were angry but sad. I’d done numerous kinds of research on the outer cities, and the capital of the infected, Alcatraz, which they named after the prison – felt like it fit the name pretty well from what I’d read. Not to mention the unmutated had cut any remaining connecting land with infected land, it was…tragic.",run for [pron],positive
"Of the 3,500 pending criminal cases in 2015, less than half made it to trial.",make it,positive
"Okay I died. There was some light there when I was panning. Yeah, that's what made me miss the shot. My ping is fine. Anyways yeah you can see what I mean by the frame rate. That's what I really don't like about this device. It can't keep up with the game, basically. So when I was shooting him, basically I was shooting at all the wrong places, not because of my ping, but it's because of the graphics lagging, basically. All right, so let's head over to COD Mobile.",keep up,positive
"On Friday's edition of NBC's ""MTP Now,"" Colorado Gov. Jared Polis (D) said that he has ""a lot of concern"" over what will happen when Title 42 ends in May, he hopes the Biden administration has a plan for when the policy ends, and that ""If they do, they haven't shared it fully with us yet."" And said that ""we've said, you need a plan. We want them to vet it with us.""",vet with [pron],positive
"On Friday, Russia launched the 14th round of massive strikes on Ukrainian energy facilities and other vital infrastructure. High-voltage infrastructure facilities were hit in the eastern, western and southern regions, resulting in power outages in some areas. Ukraine's energy company, Ukrenergo, said Saturday that the situation was ""difficult but controllable,"" adding that involved backups to keep up power supplies but noting that power rationing will continue in some areas. Ukraine's military chief, Gen. Valerii Zaluzhnyi, said that Russian forces launched 71 cruise missiles, 35 S-300 missiles and seven Shahed drones between late Thursday and midday Friday, adding that Ukrainian air defenses downed 61 cruise missiles and five drones.",keep up,positive
"On Sunday, though, there is nobody to help you out of your hole.",help out of [pron] hole,positive
"On entering the Forest Mall, you’d feel like you have accidentally fallen down the rabbit hole in Alice’s Adventures In Wonderland. The tall tree trunks surround the buildings, and the lawn and stream are beautifully juxtaposed, drawing the masses into a forest full of life and vitality.",fall in wonderland,positive
"On the contrary, upon even the tiniest of their problems, they will come to us and we will resolve it.",come to [pron],positive
"Once you start to read this book, it’s hard to put down.",put down,positive
One Twitter user took to the site recently to declare her happiness that 'the rest of the internet thinks that Hope Solo and Jennifer Carpenter are actually identical.',take to the site,positive
"One of the friends came up with the idea of taking a dramatic selfie on the roof of the wagon, the police communications desk in Khmelnytskyi Oblast reported to FAKTY.",come up,positive
"One of the lawyers told AP the trial was chaotic, with Bouteflika refusing to answer the judge's questions and walking out.",walk out,positive
"One person in particular has, very weirdly, tried to take credit for my weight loss.",take for [pron] weight loss,positive
Only the top eight athletes made it into the final.,make it,positive
Other security solutions just don’t have the resources to keep up with new threats as they emerge.,keep up,positive
"Palace is fourth on the table, a play-off position having relinquished top position in the past few weeks in which they have somehow gone off the boil.",go off the boil,positive
"Paltrow has two children, Apple (16) and Moses (14), with ex-husband Chris Martin and she wants them to have good values and not get by on their parents fame.",get on [pron] parent,positive
"Polis stated that he wishes that more time was spent on the issue of immigration during the meeting of governors at the White House, but the issue ""came up.""",come up,positive
"Polis stated that he wishes that more time was spent on the issue of immigration during the meeting of governors at the White House, but the issue ""came up."" We did have Secretary Mayorkas there for part of it. And so, we brought up, again, there's a lot of concern I share about what will happen when Title 42 ends in May and so, making sure that the federal government has a plan. We hope they do. If they do, they haven't shared it fully with us yet. But we've said, you need a plan. We want them to vet it with us. We want to make sure it's not what we experienced in December times five or times three, that would be a disaster for the country and it would be terrible for the Biden administration.",come up,positive
Prime Minister Boris Johnson has been dealt another blow in his push for an early election in the United Kingdom.,deal in [pron] push,positive
"Responding to a tweet suggesting installing the Labour leader or another temporary prime minister, she said: ""Agree with this.",agree with [pron],positive
"Right away, let’s answer the main question that comes up with the slightest upset or conflict in the banking sector or close to it: depositors are in no danger, if anything, the reliability of the banking system will improve.",come up,positive
"Right now, economists are taking stock of the past six months and we will complete this work within the next two to three weeks’, Interfax quotes Golodets as saying.",take stock,positive
Roberts Bukarts made it to Zlín and Ralfs Freibergs is about to sign a contract.,make it,positive
Rumour has it that ČEZ has already been sending you signals.,have it,positive
"Russian athletes, Sergei Kamensky and Kirill Grigoryan, made it into the final of the smallbore rifle prone shooting competition at the Olympic Games in Brazil.",make it,positive
Russian foil fencers defeated the Americans and made it through to the tournament final at the Olympic Games.,make it,positive
"Sage, who served as Creative Director of Traveler Archives, said: ""If Sinatra lives today, he is likely to sing a song for Beijing."" He said that living in this city will make you feel like “living in a new age”, which means that you can always keep up with the trends.",keep up,positive
"Security video, which has never been released, showed Alford stopped in the drive-thru when a second car pulled up behind him.",pull up,positive
"Security video, which has never been released, showed Alford stopped in the drive-thru when a second car pulled up behind him. Three suspects were then seen getting out of that car. One of them walked up to the driver's side, and shot Alford. The four people in Alford's car jumped out and ran. The suspects were then seen getting back into their car and driving away.",pull up,positive
She added: 'Birmingham council knows how to deal with this by getting long injunctions to protect their parks.,deal with [pron],positive
"She hasn't lost an all-around competition since the summer of 2013, a winning streak that should go for as long as Biles wants it to.",go for,positive
She put down her phone only to return later that evening to tweets about people gathering on Canfield Drive.,put down,positive
She went to the mall.,go to the mall,positive
She will be going to the mall.,go to the mall,positive
She would have been going to the mall.,go to the mall,positive
"Shell, for its part, has trimmed thousands of people from its payroll and announced plans to leave oil and gas operations in up to 10 countries as it streamlines its operations in the wake of its mega-merger with British energy company BG Group.",trim for [pron] part,positive
"Since Monday, Wang's family has been placed under house arrest, according to CHRD. He has two young children. Others connected to his case have also come under pressure. Late on Wednesday, six armed police detained Xie Yang, a rights lawyer, and Chen Yanhui, an activist, who had met at a hotel to discuss Wang's case. They were released on Thursday.",come under pressure,positive
"Sixthly, it is necessary to reinforce CPPCC’s self-construction with an emphasis on beefing up its competence in performing duties, improve the duty-performing system, and enhance the duty-performing efficiency.",beef up,positive
So now I'm training back home in Zlín and I'll wait for something to come up.,come up,positive
"So when it pushed a lens to some users this week that gave them slanted eyes, distorted teeth and puffy cheeks, some critics called it a racist caricature of Asian people - ""yellowface.""",call it,positive
"So, I call it ""do-it-yourself integration"".",call it,positive
"So, this do-it-yourself integration is important, because otherwise it will all remain on you, [PERSON8], and you don't want to be overloaded.",remain on [pron],positive
"So, you are very busy with this, I don't want to put any other things on you, so let me start with the reminders.",put on [pron],positive
"Sold for £25 ($33) plus VAT and limited to only one item per person at several shops, the shirt has been in such demand that people queued around blocks to get it.",get it,positive
"Some interesting details have started to come to light regarding the Chairman of the Executive Board of the Kavuklar Group, Abdullah Kavuk and the Chairman of the Executive Board of the Küçükbay Group, Ahmet Küçükbay, who were detained because they provided financial support to FETO.",come to light,positive
"Some items used by Vidyasagar, gathering dust in the storeroom of the house, will be brought out for public viewing at the museum.",gather dust,positive
"Somebody called it ""Snow White and the Seven Dwarfs.""""",call it,positive
Someone taking it upon themselves to police how and where people park?,take it,positive
"Soon thereafter, it came to light that there were two bombs filled with toxic gas.",come to light,positive
"Speaking of the brand's origins, elsewhere in the interview Demna said one of the most ""painful"" parts of the backlash was tarnishing ""the name of Balenciaga and the legacy of Cristóbal Balenciaga."" ""Balenciaga is a house that is over one century old and is based on strong and beautiful creative values, and I have been busy doing all in my creative power to bring it to its modern relevance, and suddenly we were under attack and labeled as something we're not at all,"" Demna said. ""We certainly made a huge and stupid mistake with the gifting campaign, and we certainly have learned from it.""",bring to [pron] modern relevance,positive
Step 8: Sign our names on a sheet of paper as we left to be clocked out.,clock out,positive
Super awesome light My 5 year old absolutely loved this light It didn’t last long he got it for his birthday in January it’s February already has trouble with the buttons and doesn’t run bright with plug in eats up batteries even tried recharging batteries Super cool but needs improvement,get it,positive
"Süle took to the field alongside Kimmich, Rudy in front of the defence – both performed excellently.",take to the field,positive
"Thank you to those people who have downloaded the latest update to Leasey. A few very small difficulties have come to light. Nothing to set alarm bells ringing but nevertheless they are being addressed. A small update will be produced next week to correct them. Most of yesterday was spent installing the new update for some customers, and everyone who does need that assistance should have received it by now. Have a good day!",come to light,positive
"That’s right, because all of the departments of the State Traffic Safety Inspectorate have run out of forms.",run out of form,positive
"The 35-year-old star dumped the NBA player for good earlier this year after he was accused of cheating on her with family friend Jordyn Woods - having previously cheated when she was nine months pregnant with their daughter, True.",cheat on [pron],positive
"The 7th and 10th Light Dragoons were converted to hussars at the same time as the 15th, the 18th Light Dragoons followed suit somewhat later; the 'conversion' amounted to little more than a change of uniform and the adoption of moustaches.",follow suit,positive
"The Australian prime minister (threatening sanctions), international human rights advocates, and even the Pope came to his defense.",come to [pron] defense,positive
"The Bank of England has warned economic growth will remain ""sluggish"" as it kept interest rates on hold amid a tightening squeeze on family incomes.",keep on hold,positive
The CDU fraction in the Münster (West) district administration came up with the idea to lengthen the exit.,come up,positive
"The EU is good at setting rules and red lines and sticking to them; it's less good at unilaterally imposing its will. The UK is hemmed in by its own internal contradictions, at least until an election or a second referendum breaks the impasse.",stick to [pron],positive
"The Hoops went on to win the Premier Division by 13 points but Duffy soon had City further ahead with a long-range effort which managed to squirm under keeper Leon Pohls and into the net. Last season's runners-up were two goals to good at the break. Graham Burke went closest to reducing the arrears in the second period but the Candystripes were comfortable winners a week prior to their quest for national glory. City boss Ruaidhri Higgins praised his team after what he said was the ""hardest week of my life"" following the death of his brother Kevin. ""It's a kick in the teeth and there's tough weeks ahead but we'll get on with it in his memory,"" said Higgins. ""To beat Shamrock Rovers and deservedly so with a good performance is really pleasing.""",get on,positive
The Ministry of Transport came up with this proposal.,come up,positive
"The Munich district mental asylum ""Auf der Auer Lüften"" had come to life there in 1858/59.",come to life,positive
The Russian men's team made it into the final of the 4x100 m medley relay.,make it,positive
"The V-gas causes its driver to become extremely thirsty and if the driver consumed any compound containing water, it would tamper with his mentality and would develop a strong phobia of speed.",tamper with [pron] mentality,positive
The advert is a little mad but I took it for what it was.,take it,positive
"The alleged attack on her office came as Boris Johnson came under scrutiny for his use of ""inflammatory"" language, with Jeremy Corbyn saying the Tory was encouraging people to act in ""disgraceful and abusive"" ways.",come under scrutiny,positive
"The automaker said in a statement Thursday that it was ""very concerned about the significant confusion"" surrounding employee health insurance and that it had ""chosen to work with our providers to keep all benefits fully in place"" for workers on strike.",keep in place,positive
"The battle to avoid the two remaining relegation places went to the wire as Aston Villa scored in the 84th minute, conceded a minute later, then held on for 1-1 draw at West Ham to survive.",go to the wire,positive
The book was hard to keep up with as it jumped around a lot.,keep up,positive
"The book was hard to keep up with as it jumped around a lot. Also the title doesn’t fit the story. The author indicated several people were infected by this alien, however left out may details on when or how it happened. I was confused at times and had to go back and re read a lot to make sure I didn’t miss anything.",keep up,positive
"The boy had also claimed that his daily sale has been down due to the pandemic and the loss of his stock will put additional financial burden on him, in the video.",put on [pron],positive
"The closure of the Ilinden, Kapitan Petko Voyvoda and Makaza checkpoints has increased traffic across the border near Petrich. There are no problems with the transition. There are no queues of trucks. All those waiting go to sea in Greece. Travelers wait about an hour and a half to cross the Tower.",go to sea,positive
"The company calls it ""personal empowerment through data.""",call it,positive
The couple broke up while she was away.,break up,positive
"The cover revelation was followed by a bizarre (or simply Keeping Up with the Kardashians-esque?), scripted reality video that featured the entire Kardashian-Jenner family (bar troublemakers Rob and Caitlyn, and joined by everyone's favourite showbiz uncle, Keeping Up producer Ryan Seacrest) forgetting about their sister's cover, only to end with the classic twist: they were all planning a surprise party.",keep up,positive
"The days rolled past before I could even realize it. It was a few days since Alborn was taken away – to where I had no clue, but I knew he was taken somewhere. Those outfits seemed familiar, but no way was I going to figure it out on the first try. Sighing, I placed my hands on the system in front of me, emanating a red and purple glow – I could hack the security, the place isn’t far, and I doubt they took measures...Maybe I shouldn’t. Of course, against all morals, my fingers moved without my knowing, pulling up multiple screens; god I’m good. I was pretty popular on a couple of websites, they referred to me as “WRAITH.” Which was a pretty catchy name. Granted my name on any site is WR417H, but I like to think the public came up with it.",pull up,positive
The district is taking it as a reason to investigate the matter afresh.,take it,positive
"The dog is now kept mostly inside and when it does come out, it's quick or the owner goes out with it.",go with [pron],positive
"The expert who played the carillon in July called it something else: ""A cultural treasure"" and ""an irreplaceable historical instrument.""",call it,positive
The fact that Morrison used his speech to the UN to talk about action on climate shows he does not want to lose voters in the middle who expect their political leaders to take it seriously.,take it,positive
"The flat is on the top floor of a new development, which made it possible to come up with a completely new layout and several other modifications.",come up,positive
"The four-bedroom house at 18 Tryon Ave , is scheduled to go under the hammer at 2pm (Saturday, September 28), and will be open for inspection and registration from 1.15pm.",go under the hammer,positive
"The grill of my car was ripped off by a large something flying down the interstate so I needed a replacement. I was afraid after reading some reviews that this wouldn't fit, but it was perfect! I own a 2013 Corolla LE. I didn't put it on myself--I had a guy at a body shop do it for me--but it looked really easy. It just snapped right on in less than 5 minutes. I gave it a 4 star for the sturdiness because it does seem pretty flimsy (time and flying debris will tell), but over all I'm very satisfied that my car no longer has a gaping maw on the front now and that the price was reasonable.",put on [pron],positive
The incident is the first time for the police to kill terror suspects before the incident after Canadian Prime Minister Justin Trudeau came to power last year.,come to power,positive
"The incident triggered quite a response online, with people calling it a scandal.",call it,positive
"The investigation accused him of bribery: allegedly, at his behest, regional businessmen in Arkhangelsk Oblast and Komi Republic were receiving state orders for kickbacks, but they weren’t delivering on their commitments to clean the separable parts of the launch vehicle.",deliver on [pron] commitment,positive
"The king, Labella, is said to have travelled the 1,600 miles to Jerusalem. Legend has it, when he returned and Jerusalem fell to the Islamic conquest, Lalabella ordered a new home for Christianity. Each church was carved from a single piece of rock to symbolize spirituality and humility. The Christian faith inspired many features receiving biblical names, even Lalabella's river is known as the River Jordan. Lalabella remained the capital of Ethiopia from the late 12th to the 13th century.",have it,positive
"The literature class hatred is even worse: I love to read. I hit most of the classics before eighteen--though that's more a reflection of living in bumfuck nowhere, I also read the 1979 Encyclopedia Brittanica in desperation.",live in bumfuck,positive
"The man reported the theft of expensive tools from the workshop, which dealt a serious blow to his business.",deal to [pron] business,positive
"The museum will come up at Vidyasagar's residence at Badur Bagan area where pictures and models, chronicling his life from his birth place at Birsinghapur village in Paschim Medinipur district to the house in north Kolkata, will be put on display, he said on Thursday.",come up,positive
"The nation's first ""astral path"" is to come to life in the Harz.",come to life,positive
The next morning I come into work and Jerry (not his real name) comes up to me looking pissed about something.,come up,positive
The novelty has worn off.,wear off,positive
The novelty will wear off and use will subside in due course.,wear off,positive
"The number of North Korean defectors to South Korea has fallen since Kim Jong-un came to power seven years ago, a South Korean lawmaker has said.",come to power,positive
"The other day, information made it into the media about how Italy, faced with the issue of African refugees sailing from Libya, feels like it is being left high and dry by its allies in the EU.",make it,positive
"The positive cases came to light after a mass medical screening camp was held at the bank recently, the officials said.",come to light,positive
The taxi driver put a sticker over the decimal on the clock to lift 357 crowns from tourists.,put on the clock,positive
"The two Chinese men made it to the final, as expected, and fought each other for the title.",make it,positive
The window of opportunity to make any positive changes has definitely closed at the turn of the millennium when the former KGB (sic!) officer Vladimir Putin came to power.,come to power,positive
