src,LVC_Candidate,Prediction
"9.1 If the Agreement does not state otherwise, the parties are entitled to terminate the Agreement if the other party is in default under the Agreement, provided that the breaching party has been given written notice and reasonable time to comply.",give notice,positive
"9.2 The Client shall have the right to control the procedure of providing the Services and performance of this Agreement. The Contractor shall allow the Client to perform such control. Should the Client find out that the Contractor runs counter to this Agreement, the Contractor shall immediately remove, at its own expense, the deficiencies identified and continue to satisfy its obligations in line with this Agreement.",have right,positive
">At some point, you have to do the actual work of looking at reality and comparing it to what they think and point out where they are wrong.",do work,positive
"@user15 @user14 I feel like shared experience is a defining factor of entertainment. Either sharing among an audience or an entertainer sharing with an audience. When you make your own entertainment, just for you, you're just playing with yourself",make entertainment,positive
@user19 I can only assume that it's my visa or passport pic. I should've paid closer attention.,pay attention,positive
"A big worry for Pakistan is the presence in Afghanistan of militants, particularly linked to the TTP or Jamaat-ul-Ahrar or Lashkar-e-Islam, as well as those with the Baluchistan Liberation Army, which has taken responsibility for high-profile attacks this month in the southern Sindh province as well as in southwestern Baluchistan Province.",take responsibility,positive
A black congregation that had been worshiping nearby took title to the building.,take title,positive
A company spokesman did not give further details on Friday.,give detail,positive
"A conflict is developing within the Association of Russian Banks (ARB): another seven credit organizations are preparing to ditch this non-governmental organization, taking their cue from Sberbank, VTB, VTB-24, Alfa-Bank, Gazprombank, Russian Agricultural Bank, B&N Bank, and Otkritie FC.",take cue,positive
"A domestic brokerage analyst said that the Orient Securities in Hong Kong did not enjoy a good foundation. Only its capital management business is its strength. It has many inherent problems compared with Bank of China International and CITIC Securities, etc.",have problem,positive
A few weeks ago he gave a presentation at the Water Forum for the District of Lower Franconia as a true practitioner of the Veitensteingruppe's successful nitrate reduction concept.,give presentation,positive
"A few years ago, Ansteel Group (Weibo) began by adjusting its product mix, and gave priority to developing high-end steel plates such as those for containers, railroad tracks, shipbuilding, and civilian home appliances. However, sales of these product categories fell significantly. In particular, the sales volume of steel plates for shipbuilding plunged 50% year-on-year.",give priority,positive
"A fire in 1939 left the building badly damaged, but as Father Johnson's parishioners made plans to rebuild, they commissioned the carillon.",make plan,positive
"A gourmand, President Roosevelt had a taste for fancy Fifth Avenue foods like pâté de foie gras and Maryland terrapin soup.",have taste,positive
A grand jury is a group of ordinary citizens that collects evidence of possible criminal offenses and has the right to question witnesses under oath.,have right,positive
A handful of Republicans in both the House and Senate also had concerns about the precedent Trump's declaration would set for executive overreach in the future.,have concern,positive
A knee injury prevented midfielder Graham Dorrans from making his first appearance of the season until the 2-2 draw with Villarreal but he believes Rangers can use that result as a springboard to greater things.,make appearance,positive
"A long time ago, their parents were killed by poachers and Cheyenne and Kuyu were sold at the market. Taken in by the Help Congo organization, they grew up in semi- captivity with about 30 other orphans out on the islands. One after another, these young chimpanzees have been shown the way back to the forest. The association scientists have given them each a name to identify them.",give name,positive
"A tract making the same statements about Christian rock is Angels?, Chick, Jack T. (1989).",make statement,positive
A typical client of the store is between 35 and 50 years and has some experience with both sex life and using toys.,have experience,positive
A video in which the boy alleged that the officials had warned him in the morning to remove his cart or pay Rs 100 as bribe had gone viral on social media.,pay r,positive
"A woman accused of shoplifting at a Walmart in Mexico City took drastic measures to prove her innocence, stripping stark naked in the middle of the supermarket as a stunned security guard looked on.",take measure,positive
"A. If you are in the UK, we have no problem sending to a different UK address but you must have picked an item that has signed for delivery as its default shipping, or have picked the signed for delivery option when you placed the order.",have problem,positive
A350-800 The A350-800 will seat 270 passengers in a 3-class cabin 9-abreast layout and will have a range of nmi (0 km).,have range,positive
"AWA Womens' Title History In 2000, Martel made a brief return to WCW to wrestle Madusa and Mona but turned down a long-term commitment.",make return,positive
"About 450 million years ago, plants took a giant leap out of the oceans onto the land to become the plants that we know and love today. But how did they survive? Scientists at the John Innes Centre may have found out. Land plants survive by getting water and nutrients from the soil. They do this by forming a special friendship with soil dwelling fungi called mycorrhiza. These strands of mycorrhiza reached deep into the soil and drag the nutrients and water back to the plants. But when the first algae landed on soil, how did they survive long enough to form these beneficial friendships?",take leap,positive
"According to Buzzfeed, Google removed the apps from the Play store last week but won't comment on why it has taken action against iHandy despite Buzzfeed asking several times.",take action,positive
"According to Professor Lee, Omicron has a strong signal for N genes in PCR tests but has a weak signal for S genes.",have signal,positive
"According to Radio Free Asia, Cao said police pressured her to accept their statement that Wang's death had been an accident but she refused. An officer at the Hengyang police station said he could not comment on the case. Wang's mother told the Guardian the family has been offered compensation of more than 2 million yuan (about $220,000).",offer compensation,positive
"According to Su Qifang, the village secretary, per capita land cultivation area increases each year. 50 mu (a unit of area, one mu=0.0667 hectares) in the beginning and over 100 mu now. The revenue per mu increases every year and the income of professional farmers also have room for growth every year.",have room,positive
"According to Wang's mother and lawyer, he died on Monday. Wang's wife Cao Shuxia received a call from police notifying her that her husband had died at a military hospital in the city of Hengyang where he had been held. The police officer on the phone did not offer any explanation of the cause of death.",offer explanation,positive
"According to Zhao Xiuping, up to RMB 400 million has been invested in the current environmental protection. Such investment has a great impact on the enterprise management philosophy and social benefits and also opened up a space for the enterprise innovation management.",have impact,positive
"According to him, even many Tatars have a closer affinity to sermons in the Russian language, since ‘Russian is what is in schools and in child care facilities, on the radio, and everywhere, from the very beginning’.",have affinity,positive
"According to his lawyer, Petr Toman, a potential objection may have a chance to succeed.",have chance,positive
"According to information from police, the men approached the 13-year-old girl, who was staying with friends on Kolpingstraße, at around 2.55pm, because they wanted to use the girl's mobile to make a phone call.",make call,positive
"According to news on the Ministry of Foreign Affairs website, on December 27, 2017, Minister of Foreign Affairs Wang Yi attended the 2017 National Conference of Directors of Local Foreign Affairs Offices at Shijiazhuang, Hebei Province, and made a report.",make report,positive
"According to our news, at the invitation of president Xi Jinping, the president of the United States of America Donald Trump will pay a state visit to China on November 8-10.",pay visit,positive
"According to the ABS-CBN television, the event occurred at Paranaque prison around 9 o'clock last night, but the police did not make a preliminary statement until 2 am today.",make statement,positive
"According to the Reuters agency, the material on monitoring the Russian hacks was encoded and only a small group of experts had access to it.",have access,positive
"According to the Spanish paper El País, similar exceptions existed in Chile since 1931, which was before women were given the right to vote in 1949.",give right,positive
"According to the figures, which a correspondent for the rus.err.ee website received from the Department of Statistics, in June 2017, at total of 20,519 local and foreign tourists made use of the services of hotel facilities in the North-East, which is 125 people or 0.6% more than for the same period a year ago.",make use,positive
"According to the information received, Isparta Police Department Struggle Against Cyber Crimes Division squads started work on the information that Gökhan Okçu made propaganda of FETO's coup attempt over social media and insulted President Recep Tayyip Erdoğan.",make propaganda,positive
"According to the latest news, the People’s Daily for tomorrow will publish a commentary, saying we should make a greater contribution to mankind as well as learn and implement the spirit of the 19th CPC National Congress from eight perspectives.",make contribution,positive
"Active acoustic torpedoes home in on the reflection of a signal, or ping, from the torpedo or its parent vehicle; this has the disadvantage of giving away the presence of the torpedo.",have disadvantage,positive
"Actually, this 50-meter freestyle is not the subject of Ning Zetao. His performance and best achievement in Kazan World Championships also indicate it is not possible for him to make breakthrough in this project.",make breakthrough,positive
"Additionally, the Russian president has the right to exempt “other persons” from this procedure.",have right,positive
"After Entering a new era, to carry out the new guidelines and start a new journey, we must give our firm support",give support,positive
After The Producers ( 1968 ) Brooks became one of the most famous film parodists and did spoofs on any kind of movie genre.,do spoof,positive
"After a conversation with Coons and several senators afterwards, Flake made his decision.",make decision,positive
"After all voting-related matters were completed, Chairman Zhang Dejiang made a summary speech on the work accomplished in this standing committee session.",make speech,positive
"After all, we've already had a forensic audit and a hand recount of these votes, and that didn't help.",have audit,positive
"After being alone for many months, Cole gradually goes insane, due to the countless demonic powers he has taken into himself from the demonic wasteland and his despair over Phoebe's continued rejection of his love, no matter what good deeds he does.",do deed,positive
"After contacting two Apple Support specialists, one suggested that I wipe my iPhone and start fresh, while another didn’t offer any real suggestions as the issue goes beyond anything they can do.",offer suggestion,positive
"After getting word from other teams that the sideline benches at FedEx Field were in major need of an upgrade, the Cowboys brought their own for this showdown game.",get word,positive
"After making the suggestion at a rally on Wednesday night, Mr. Trump doubled down on the assertion on Thursday, insisting in interviews that he really did intend to say that the president and Mrs. Clinton had created ISIS.",make suggestion,positive
"After months of complaints from neighbors, meetings with the community, design changes, and discussions with planners and building inspectors, the owners of Rustic restaurant at 3331 24th St. finally have the approvals they need to get moving.",have approval,positive
"After realizing her gaffe, an uncomfortable Plasco-Flaxman fired Ms. Maurice, stating that their outgoing nanny, who was African-American, had done a bad job and that she was instead expecting a Filipino, according to the New York Post.",do job,positive
"After returning back to Moscow, I will use the knowledge and skills learned in China to Russia and make my own contribution for the cultural transmission and promotion of the Chinese culture.",make contribution,positive
"After the case, Haikou City Public Security Bureau of Interpol detachment leaders attach great importance and immediately organize a detachment of elite troops to take the initiative to investigate.",take initiative,positive
"After the military junta took over control of the country in 2014, economic growth fell from 7.2% (in 2012) to 2.8% (in 2015), but tourism remained one of the few sectors that was showing growth.",take control,positive
"Aftera positive affirmation of the achievements in the work of the South-to-North Water Diversion Project, Zhang Gaoli stressed that we should continue to make great efforts in fulfilling the work of South-to-North Water Diversion Project in an all-round way",make effort,positive
"Afterwards, Zhang Dejiang made his request for an in-depth study and implementation of the spirit of the 19th CPC National Congress. He stressed that the Standing Committee of NPC should make efforts to learn, comprehend, and implement the requirements of the 19th CPC National Congress,",make request,positive
"Ahead of the summer games in Brazil, the World Anti-Doping Agency had put a lot of pressure on the African country to introduce an anti-doping law and a functioning system of checks.",put lot,positive
"Akben said,  If the banks do a loan recall with ulterior motives by using it as an opportunity because of market conditions, we will not allow it.",do recall,positive
"Alborn was a great guy, but this looked serious. No need to stick my nose out for someone, especially when they seem like they’ve just gotten into trouble with every authority in the city. Yet, I still couldn’t shake the feeling. Letting a silent sigh escape me, I slowly warped off the grate below, dropping down into the quiet room. “Psst. Al. Al!” I whispered, giving a soft yell at his lack of response. “Lilith? What are you doing here..? You’ve gotta leave, he’ll catch you.”",give yell,positive
Alfie Barbeary's all-action display capped by a captivating try had given Wasps hope but he was unexpectedly replaced at half-time and it became one-way traffic from the moment Campbell showed his class to finish in the 43rd minute.,give hope,positive
"Alford said his son was a star football player at Alemany High School, then a stand-out safety on the Long Beach City College football team. Alford said his son was working toward playing for a Division 1 school and had dreams of becoming a nurse.",have dream,positive
Alford said his son was working toward playing for a Division 1 school and had dreams of becoming a nurse.,have dream,positive
Alfredo Morelos certainly felt he should have had a penalty on the quarter-hour mark as he and Steven Lawless collided but referee Steven Thomson waved away the Colombian's appeals.,have penalty,positive
All teams will talk about having a great start and making sure they take early steps to get a psychological and physical advantage.,have start,positive
"Allen's family pays nearly $12,000 per year for Amari to attend the school, which made headlines earlier this year after Karen Pence took an art teaching job at the famously anti-LGBTQ institution.",make headline,positive
Allow us to make that judgement.,make judgement,positive
"Already before then, Thomas Bockstadt, Susanne Reichle, Sandra Schöck, Thomas Reichle and Meta Umbeer were numbered amongst the repeat donors and honoured for having made 50 donations each.",make donation,positive
"Alroy has no opportunity to reclaim his family's throne, but he does marry and produce a legitimate son, thus securing the Haldane succession.",have opportunity,positive
"Also [PERSON9] I had a look at the (code), and I think I know why it's so slow.",have look,positive
"Also on Tuesday, Facebook said it would be updating its ad preferences tool to give people more control over how ads are targeted to them.",give control,positive
"Also teaming up with the NCA is Balenciaga's parent company, Kering, which oversees other luxury brands including Saint Laurent and Bottega Veneta. Under the Kering umbrella is Gucci, which faced backlash in December for a campaign featuring Harry Styles that some social media critics alleged also sexualized children. In the interview, Denma said he plans to move away from the brand's provocative ways. This is part of my learning: I will have a more mature and serious approach to everything I release as an idea or an image, he said. I have decided to go back to my roots in fashion as well as to the roots of Balenciaga, which is making quality clothes - not making image or buzz.",have approach,positive
"Although he is unaware of this, Kim Alabaster and Naughty Rachel in HR often call him Martin Dear, he's so Queer, but this is mainly to irritate Karen Ball another worker in HR who has a crush on him.",have crush,positive
"Although it was his creation and his imagination, he always used to give the credit to Paddington himself.",give credit,positive
"Although the state, the ministry and the regional government has taken every appropriate measure to prevent such incidents as early as possible, we would also like to request that our fellow citizens become more aware of this issue.",take measure,positive
"Among them are people who have experience working in the security agencies, including the Ministry of Defense.",have experience,positive
"Among them, Iraq, Iran, Turkey and Brazil are all legitimate Bitcoin markets. Afghanistan, Pakistan, Saudi Arabia, Egypt, and Bolivia have some restrictions on the trading and use of Bitcoin. Most Latin American countries have not made any comments about Bitcoin.",have restriction,positive
An Everton fan joked: Just realised I can't laugh at Arsenal for making Xhaka their captain because ours runs off the pitch three times a week and hasn't picked his head up for a cross since 2014.,make captain,positive
An ex-Labour Party source told the Daily Mail they would take legal action even if Mr Starmer did expel Mr Corbyn.,take action,positive
"An open, industrial loft in DTLA gets a cozy makeover",get makeover,positive
"And I hope that Scottish Conservatives get the credit they deserve for the hundreds of millions of extra funding that we're putting into Scottish agriculture which was secured, not by Nicola Sturgeon, but by Scottish Conservatives.'",get credit,positive
"And I'd like to start by turning to Dr. Vishal Sikka, the CEO of Emphasis. Vishal, you're the son of a railways engineer. You saw technology at that phase, and you're also a surfer, so you know all about dodging the waves. What's the disruption that we most need to pay attention to, that's coming from the new technologies and why? Why should we pay so much attention to the disruption?",pay attention,positive
And Nielsen usually has some trouble measuring people who watch in offices.,have trouble,positive
"And Oregon's state university workers aren't the only ones taking action. Oregon is a powder keg of militancy right now, and its fuse is now burning bright and hot. Grocery store workers at the Fred Meyer supermarket chain are ramping up their campaign against their employer, and while there are no official plans to strike yet, tensions are running high; their union, United Food and Commercial Workers Local 555, has already called for a boycott, and filed an unfair labor practice report against the chain.",take action,positive
"And Scotland, which has not been the primary target of this destabilisation, must now soon be given a second chance to consider its position, in relation to a UK so radically changed by Brexit.",give chance,positive
And as with the other Johnny English films I couldn't help thinking: can't the British film industry give Rowan Atkinson a role that really does justice to his talent?,give role,positive
And he's got to move up to lightweight [135 pounds] and then we have a fight.,have fight,positive
"And how did it turn out that you, specifically, took charge of it?",take charge,positive
And many people aren't weird or offensive until the free market gives them the permission to be so.,give permission,positive
"And sign back in after this please, to have the account update.",have update,positive
"And so, we brought up, again, there's a lot of concern I share about what will happen when Title 42 ends in May and so, making sure that the federal government has a plan.",have plan,positive
"And that means bumbling Johnny English himself, now employed as a schoolmaster in some posh establishment, but giving off-the-record lessons in how to be an undercover operative: some nice gags here, as English offers a School of Rock-type academy of spying.",give lesson,positive
And that’s where we will make a decision.,make decision,positive
And they didn't have any fear of contact?,have fear,positive
"And up until like two years ago, I had no idea until I checked my transcripts.",have idea,positive
"And we’re on again. I’ve got a cancellation for tomorrow, so it’s take two on Stumpy’s crowning.",get cancellation,positive
And what about having the silent support of the Communists for your minority government?,have support,positive
And what other economic interests does Russia have in Libya?,have interest,positive
Anja Smetanin from ACE Auto Club Europa gives her assessment:,give assessment,positive
Another 4 young people were brought to the police department to give a witness statement after their treatment.,give statement,positive
"Another one was given medical assistance, after which he was let go.",give assistance,positive
Another option would be for French pilgrims heading to Mecca to pay a contribution of ten to twenty euros (an equivalent of 270 - 540 Czech crowns).,pay contribution,positive
"Another thing I might be able to do: have a fake email conversation with you about why your paystubs are going missing or why your password isn't working (after you change it) and how we're trying to figure this out, thank you for your patience!",have conversation,positive
"Any consequences will come further down the line for Paris Saint-Germain from UEFA, the governing body overseeing the European game which has the power to ban teams from the prestigious Champions League tournament.",have power,positive
Any movement in the property market would have an impact on the sensibilities of the general public.,have impact,positive
Anyone who wants to renovate their outdated house will soon be able to get support from the state.,get support,positive
Apple Watch finally made its debut at Apple’s Spring conference this March.,make debut,positive
"Appraisal mechanisms in the services sector are nothing new. The key to having these appraisal mechanisms play an effective role is to have more effective supervision, rather than being a mere formality.",have supervision,positive
"Approval of the completeness of making the Change Request and definition of the deadline for preparation of the Functional Specification of the Change, Change Impact Analysis and the Time and Financial Calculation of the Change (these documents hereinafter the “Change Documentation”) and the specification of the Upgrade where the change is to be included",make request,positive
"Arbitration courts should not make decisions, let us make an agreement among ourselves on this matter.",make decision,positive
Architects also found items which implied that monks living in the monastery kept cattle and made good use of the sea for food.,make use,positive
"Arriving at the incident scene, fire crews made every effort to rescue Şanver from where he was trapped.",make effort,positive
"As China's exports of petroleum products have a huge impact on the Asian market, teapot refinery got more attentions.",have impact,positive
"As Chinese consulate closure in Houston took effect on Friday, a group of men who appeared to be U.S. officials were seen breaking-in to the facility through a back door.",take effect,positive
"As Ferrell drove to Ferguson with her daughter, who was wearing a floral dress and matching crown, the two revisited a conversation they'd had countless times before that morning about the black experience and black condition.",have time,positive
"As TRT 3 did a wide broadcast from the channel, we started to prepare the works to cut the broadcast.",do broadcast,positive
"As a consequence, Russia will not make an appeal to the WTO regarding the issue of Western sanctions introduced against Russia.",make appeal,positive
"As a family company, we're committed to doing what's right for people and the planet, and we believe that to make an impact, you have to set measurable goals, said Fisk Johnson, Chairman and CEO of SC Johnson.",make impact,positive
As a member of the cricket committee we gave our honest opinion.,give opinion,positive
"As a result, when businesses were reopening some employees did not have an incentive to return to work.",have incentive,positive
"As for January 2017, a total of 368 shale gas wells (excluding parameter drill-holes) have been drilled in Chongqing, and 261 have commenced production. With recent positive news that the production volume of each of the four shale gas exploratory wells at Sinopec’s Southern Pingqiao block of the Nanchuan District has exceeded 200,000 cubic meters per day, Sinopec’s Fuling shale gas field, which is expected to have a planned capacity of 10 billion cubic meters this year, will become the first commercialized drilling of a large-scale shale gas field outside North America.",have capacity,positive
"As for the rest of Singapore’s laws, at the very least, it’s worth taking a closer look at them.",take look,positive
"As of 2017, COSGBI took on the duty of principal contractor in order to complete construction and installation work on the launch site and technical facilities by the launch date scheduled for the fourth quarter.",take duty,positive
"As of 8 a.m., the prison authorities have not yet made a detailed statement, including how the prisoners get grenades.",make statement,positive
"As one of the animals, 392 centimetres long, was likely on the threshold of sexual maturity, and had an age of 156, it seems that Greenland sharks take at least 150 years to be able to reproduce.",have age,positive
"As reported by RIA Novosti, the Russian leader made a corresponding statement at a meeting with Vaino and his predecessor, Sergei Ivanov.",make statement,positive
"As she went on to explain, there's method in a strategy that most people inside the Beltway would deem madness: This is the best way to earn the press's trust. They'll know we're not spinning like everyone else. SIGTARP will quickly become the only credible source for information in Washington about TARP. We might be embarrassed at times and disclose things that we could - and others would - easily hide, but we'll shock the press with our honesty. No one else does this, and before long, we'll have a built in defense when we're attacked. No matter what they hear, the press will come to us first and believe us, because we'll prove to them that we tell the truth. This is perhaps the biggest reason for Biden to pursue the course of radical responsibility-taking: Moments inevitably arise in any presidency when having the trust of the public and the institutions that safeguard the civic interest is critical. Moreover, there is vital capital to be earned by owning our mistakes, and there's an important distinction that Biden can draw with his political opponents. The president would do well to follow the old adage: Tell the truth - and shame the devil.",have trust,positive
"As shown in the figure below, green represents the legal market for Bitcoin, and orange represents the neutral market. Although there is no place where Bitcoin is acknowledged a legal currency, there are no major restrictions on the use it. The pale pink represents the restricted market, i.e. the local government tries to the use of the digital currency pass by drawing a red line or taking regulatory measures. The deep pink represents countries where Bitcoin is declared as illegal. The gray represents countries that have not yet been rated.",take measure,positive
"As someone who works with patients who have terminal illnesses, Eufrosina Young thanks her strong support system for her ability to maintain her energy.",have illness,positive
"As tempers grew more heated, an order was sent to the soldiers through internal radio: If the masses offer resistance more than three times, shoot them dead, it said, according to an official document seen by TIME that has not been released to the local media.",offer resistance,positive
"As the authorities in major markets of Bitcoin -- such as China, South Korea and the European Union -- take decisive regulatory measures, the digital currency market dominated by Bitcoin has experienced major bloodshed this week. The price of Bitcoin has fallen below 10,000 dollar, recording the biggest one-day drop.",take measure,positive
"As the suspect is a stealing recidivism and repeatedly dealt with by the public security organs, he has strong anti-reconnaissance capabilities. In addition, due to his long-term drug abuse, the often drug addiction makes trial work quite difficult.",have capability,positive
"As we move on, businesses and individuals that have access to their homes are anxious to put the pieces back together.",have access,positive
"As we once came here and also took an oath, we were extremely motivated when we found President Xi also came here. It seemed to enhance the morale of the people. So, after discussing with each other, we decided to pay another visit so that we could review the procedure of making a vow here. I am so excited today.",take oath,positive
"As well as being an abbreviation of his current professional name, West has previously said the word has religious significance for him.",have significance,positive
Asian Championships is to give new impetus to development of athletics,give impetus,positive
"Asked about the deaths in the crew of the aircraft carrier, Defense Secretary Mark Esper said, I wish I could tell you we have an answer to prevent further, future suicides in the Armed Services. We don't. We are caught up in what some call a national epidemic of suicide among our youth.",have answer,positive
"At any rate, the pop-eyed, rubber-faced incompetent Johnny English has had his licence to cock things up renewed for the second time - that name of his signalling more than anything else that he is a broad comic creation designed for non-English-speaking cinemagoing territories.",have licence,positive
"At planting phase, Rural Taobao and Ant Financial Services have jointly offered means to acquire agricultural resources and tools as well as obtain micro-loans.",offer mean,positive
"At some depots and exchange points, workers also have access to so-called sodobars, which dispense cold soda.",have access,positive
"At that point, Indorewala says, Gavilondo pointed to her headscarf and made mocking comments about religion.",make comment,positive
"At the 15th minute, Zhang Xizhe flip through in straight line of the midfield. Ilmaz has been straight for the penalty area and the defensive Liu Yu grab the first leg of the ball and made a fight.",make fight,positive
"At the Defcon hacker conference, security researchers demonstrated how they could take control of a thermostat connected to the internet.",take control,positive
"At the Museum of Liverpool on Sunday, Ms Truss will have discussions with foreign ministers from the Association of Southeast Asian Nations, who are attending the G7 gathering for the first time - most of them virtually.",have discussion,positive
"At the current high temperatures, we must pay particular attention to make sure that a sufficient number of drinks are available to the drivers.",pay attention,positive
"At the end of May, it was reported that Gazprom does not plan, as of yet, to take any actions in connection with the intentions of the Polish side to withdraw from long-term contracts for the supply of gas from Russia after 2022, stated Alexander Medvedev, Deputy Chairman of the Board for the company.",take action,positive
"At the invitation of president Xi Jinping, the US president Trump will pay a state visit to China.",pay visit,positive
At the moment it is absolutely impossible to do any domain adaptation for the fully neural ASR.,do adaptation,positive
"At the same time, the Martian atmosphere has a reducing effect on sunlight, which poses a problem for the energy supply for Mars detection.",have effect,positive
"Automobile technology has developed for more than a century, and a lot of the technology is fairly mature. However, future auto user experience is more dependent on human-machine interaction. ZTE has advantages in the areas of IT, network, and auto networking systems.",have advantage,positive
"BEWARE...SMELL IS VERY BAD...CARD SLOTS TOO BIG! When I first saw this I thought it was beautiful, BUT it smelled SO BAD. At first I thought it was the smell of leather, but many pointed out that is was a MOLD smell. It never went away, so I had to return it. PLUS, the pockets for the credit cards are too big. The credit cards slide all the way down, the tips don't show so you have no idea what card is where and very difficult to get out. THE PHOTO THEY SHOW WHERE THE CARDS ARE STICKING OUT IS INACCURATE.",have idea,positive
"BOSTON (Reuters) - Companies making their debut on the U.S. stock market are getting a rough welcome, especially if they are losing money, casting a shadow over the calendar for initial public offerings for the rest of the year.",make debut,positive
Babies exposed to air pollution have greater risk of death,have risk,positive
"Babies living in areas with high levels of air pollution have a greater risk of death than those surrounded by cleaner air, a study has found.",have risk,positive
"Ballie Ballerson is opening a second site in Soho this evening, and the Standard has an exclusive first look.",have look,positive
"Banking Regulation and Supervision Agency (BDDK) Head, Mehmet Ali Akben, made a statement about President Erdoğan's loan recall warning to banks.",make statement,positive
Barzani gave a speech at a ceremony in Duhok city commemorating the third anniversary of the DAESH terror group’s attack on Yazidis in the Sinjar District of Mousul City.,give speech,positive
"Basically, they’ve insinuated that they were the driving force that got me here, under the guise of being supportive, when in reality they didn’t even know I was making these changes until I had already gone through with the RNY and lost well over 100lbs.",make change,positive
Because I have no experience and no time to get it running.,have experience,positive
"Before he finished, he stressed that he had previously had a pleasant conversation with Russian President Vladimir Putin.",have conversation,positive
"Before the forum, the participants jointly paid tribute to the Red Ship in South Lake.",pay tribute,positive
"Before we say goodbye, I have one last question: What was the craziest request they received?",have question,positive
"Behind every rowing gold is a battalion of willing hands contributing the incremental gains that make the difference, and no hands were more instrumental than those of a coach who 30 months ago did not know whether he would live to see this day when diagnosed with cancer.",make difference,positive
"Behçet Oktay's sister Şule Oktay, brother Nezih Oktay and family lawyers made many requests during the trial process.",make request,positive
"Besides the 1962 war, India and China had a major military standoff at Doklam in 2017 when the People's Liberation Army (PLA) tried to lay a road close to Indias narrow Chicken Neck corridor connecting with the North-Eastern states in an area also claimed by Bhutan.",have standoff,positive
Beşiktaş is expected to make an official statement on the Jeremain Lens transfer.,make statement,positive
Biggs also testified that there is no evidence that abortion causes women to have mental health problems. She said a national study comparing women seeking abortions who were just under the cutoff date to obtain them with a group of women who were over the cutoff and were turned away from clinics found no difference in the rates of issues like depression and post-traumatic stress.,have problem,positive
"Blocking critics from Facebook: Don't run for public office, if you can't take heat from voters",take heat,positive
Blue and great tits compete for resources such as food and nesting cavities and their coexistence has important fitness consequences for both species.,have consequence,positive
"Bosses at Openreach, the firm responsible for linking up homes to fibre networks capable of supporting ultrafast broadband, say they face huge obstacles in securing so-called wayleave agreements that give them the right to enter apartment or office blocks.",give right,positive
"Both Gloria Trevisan and her boyfriend Marco Gottardi had trained in architecture. After graduating last year, they had difficulty in finding a job, so last March they moved from the northern Veneto region to London.",have difficulty,positive
Both Lopez and Shakira have had major success the pop and Latin charts over the years with multiple hit songs and albums.,have success,positive
"Both men and women engage with me differently, making more efforts to talk to/get to know me - and that’s just platonically.",make effort,positive
"Both parties gave support to his plans to rapidly build up the American military, but the isolationists warned that Roosevelt would get the nation into an unnecessary war with Germany.",give support,positive
Both parties should make joint efforts to promote the development of global Internet governance in a more just and reasonable direction.,make effort,positive
Both the leaders of Vietnam and Laos paid close attention to and evaluated the great significance and achievements of the 19th CPC National Congress.,pay attention,positive
"Both the victim and the killer had sex and smoked marijuana, then he killed her.",have sex,positive
"Braving to try, daring to make breakthrough, self-determination and the enterprising spirit also originate from the fact that Shanghai has always taken institutional reform as the key to developing this great article.",take reform,positive
"Brazilian bantamweight Bethe Correia is a UFC veteran but made an amateur error by turning her back on opponent Pannie Kianzad and mistakenly thinking the round was over in their bout on Fight Island, and got tagged as a result.",make error,positive
"Briefings will still happen, Sanders said, but if the press has the chance to ask the president of the United States questions directly, that's infinitely better than talking to me.",have chance,positive
British Daily Telegraph commented that Teresa Mei chose to take a vacation in Switzerland. This is the first time that the British Prime Minister chose to go vacation in Swiss after Margaret Thatcher.,take vacation,positive
"Businesses complain the levy is too inflexible. For example, said Reeves, Openreach wants to retrain people who work on copper to work on fibre, but the apprenticeship levy doesn't have that flexibility around retraining. Reeves said Labour would change the levy so companies could use the money to retrain employees in industries such as the automotive sector and those currently fitting gas boilers. We need them as part of the energy transition to net zero to be learning the skills to work on electric vehicles or fitting heat pumps or hydrogen boilers. We want those people to be retrained to get the skills that they need to succeed. And yet the apprenticeship levy is stacked up against them. Businesses want greater flexibility and young people starting off in life or older people who want to retrain to make sure that their skills are relevant for the future, said Reeves.",have flexibility,positive
But Mane trained with his Liverpool teammates on Thursday and Klopp has no concerns over the forward ahead of his side's trip to Bramall Lane in Saturday's early kick-off.,have concern,positive
But Mr Puglia insists he was just doing his job.,do job,positive
But Picciuto has hopeful advice for the mothers of babies with birth defects from Zika.,have advice,positive
"But Rep. Dan Kildee, a Michigan Democrat, said the timing of the recess has its upsides.",have upside,positive
"But a series of recently passed or pending measures in the Commonwealth Parliament give rise to concerns about our own, home-grown authoritarianism.",give rise,positive
But at this point the open hostility and violence is getting worse. That takes effort. Slamming a door in my face takes effort. Our dogs used to be BEST FRIENDS.,take effort,positive
"But if I may make a modest case for my particular favorite, let me call attention to the discreet charm of the trampoline.",make case,positive
"But it landed in the red each of the next four years, requiring a loan from the county’s equipment rental and revolving fund to make debt payments.",make payment,positive
